Title,Price,Ad URL,Local Folder
"Квартира-студия, 27,7 м², 10/12 эт.",6 800 183 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_277_m_1012_et._2677323677,"dataset_images/Квартира-студия, 27,7 м², 10-12 эт."
"2-к. квартира, 55,1 м², 1/5 эт.",35 500 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_551_m_15_et._2784272865,"dataset_images/2-к. квартира, 55,1 м², 1-5 эт."
"2-к. квартира, 72,8 м², 23/25 эт.",16 299 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_728_m_2325_et._3678424054,"dataset_images/2-к. квартира, 72,8 м², 23-25 эт."
"Квартира-студия, 27 м², 2/9 эт.",9 300 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_27_m_29_et._3661224065,"dataset_images/Квартира-студия, 27 м², 2-9 эт."
"Квартира-студия, 24 м², 1/4 эт.",3 400 000 ₽,https://www.avito.ru/annino/kvartiry/kvartira-studiya_24_m_14_et._3672820069,"dataset_images/Квартира-студия, 24 м², 1-4 эт."
"1-к. квартира, 31 м², 5/5 эт.",5 900 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_31_m_55_et._3041340896,"dataset_images/1-к. квартира, 31 м², 5-5 эт."
"3-к. квартира, 68 м², 2/2 эт.",9 200 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/3-k._kvartira_68_m_22_et._3727478293,"dataset_images/3-к. квартира, 68 м², 2-2 эт."
"Квартира-студия, 18,8 м², 2/5 эт.",3 385 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/kvartira-studiya_188_m_25_et._3801655327,"dataset_images/Квартира-студия, 18,8 м², 2-5 эт."
"1-к. квартира, 29,8 м², 3/5 эт.",6 950 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/1-k._kvartira_298_m_35_et._1418513282,"dataset_images/1-к. квартира, 29,8 м², 3-5 эт."
"2-к. квартира, 49 м², 12/12 эт.",7 980 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_49_m_1212_et._3738381006,"dataset_images/2-к. квартира, 49 м², 12-12 эт."
"2-к. квартира, 47,8 м², 2/9 эт.",10 000 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_478_m_29_et._3499425247,"dataset_images/2-к. квартира, 47,8 м², 2-9 эт."
"3-к. квартира, 58 м², 1/3 эт.",4 999 000 ₽,https://www.avito.ru/shlisselburg/kvartiry/3-k._kvartira_58_m_13_et._3744057656,"dataset_images/3-к. квартира, 58 м², 1-3 эт."
"2-к. квартира, 74 м², 21/25 эт.",15 300 000 ₽,https://www.avito.ru/sankt-peterburg/kvartiry/2-k._kvartira_74_m_2125_et._3707711260,"dataset_images/2-к. квартира, 74 м², 21-25 эт."
"Квартира-студия, 24 м², 9/12 эт.",4 800 000 ₽,https://www.avito.ru/kudrovo/kvartiry/kvartira-studiya_24_m_912_et._3761437218,"dataset_images/Квартира-студия, 24 м², 9-12 эт."
